camera_id,name,lat,lon,area,score,level,vehicles,pedestrians,signals
6728d273-d20b-44b7-868a-d54c00e50fab,Amsterdam @ 178 St,40.846142,-73.932426,Manhattan,7.0,medium,7,0,0
0cef143f-b3d8-4066-84ee-6114fa6e76e0,Lexington Ave @ E 110 Street,40.795015,-73.944542,Manhattan,10.6,medium,10,2,0
07b8616e-373e-4ec9-89cc-11cad7d59fcb,Worth St @ Centre St,40.715157,-74.00213,Manhattan,8.3,medium,8,1,0
a6bd09c7-9195-4e0b-ac0f-78114a7d63a1,Park Ave @ E 125 St,40.805313,-73.93924,Manhattan,10.0,medium,10,0,0
04e09ed5-2d97-4e29-8438-b87748850dbb,Columbus Ave @ 65 St,40.77297,-73.981993,Manhattan,3.4,low,2,3,1
06ea08ec-5cd8-4bd6-9535-502acf651abc,5 Ave @ 86 St,40.781556,-73.960389,Manhattan,3.0,low,2,0,2
175cc1f1-0543-41c9-85fb-464ec29687de,Park Ave @ E 116 Street,40.799265,-73.94294,Manhattan,13.6,medium,13,2,0
04ffc69c-92a7-4c02-aa18-2b16e7ba81f2,FDR Dr @ 36 St,40.744441,-73.971242,Manhattan,12.0,medium,12,0,0
1fe143ba-7133-422f-b594-d6712559c523,2 Ave @ 125 St,40.80275,-73.933633,Manhattan,1.0,low,1,0,0
5caa3ace-277b-42db-97bd-585f29b0d49f,Central Park West @ W 61 St,40.769303,-73.980882,Manhattan,8.3,medium,8,1,0
5ce5f31b-fce3-4f60-9534-5986c8b668eb,3 Ave @ E 120 Street,40.800503,-73.938107,Manhattan,11.0,medium,11,0,0
36672d97-80d3-48f0-b3c4-6e6125069b90,Riverside Dr @ 79 St,40.784922,-73.982865,Manhattan,4.6,low,4,2,0
ae2f7e1a-e781-4d24-9434-12f4f4ef4f2b,WBB -17  SOR - 2  @ Delancey St/FDR,40.71481,-73.976595,Manhattan,2.0,low,2,0,0
17b6c7dd-2aa7-442a-8832-d39051a47d1b,Park Ave @ 34 St,40.747084,-73.981357,Manhattan,1.3,low,1,1,0
3ad126cc-3f99-4626-a229-b9ba4d3f4b63,St Nicholas Ave @ 181 St,40.849314,-73.933739,Manhattan,7.6,medium,7,2,0
927f8797-4a7e-4b6d-b11f-cee68a027dc9,2 Ave @ E 102 St,40.788045,-73.944275,Manhattan,19.6,high,19,2,0
09d9335c-097e-47ef-af1d-122eb3206f7c,Rockefeller Plaza @ W 49 St,40.75836,-73.978867,Manhattan,2.1,low,0,7,0
a9fb8f19-98a1-4b2b-a920-a3537cc4908f,Lexington Ave @ E 120 St,40.80105,-73.939747,Manhattan,8.0,medium,8,0,0
3809d95f-f99e-4eca-9121-9c7db73f8cbd,12 Ave @ 34 St,40.75697,-74.004812,Manhattan,10.0,medium,10,0,0
301002c0-fe39-4fad-998a-fdc66e531b1d,Lincoln Tun Approach(Bet 9Ave & 10Ave) @ W31 ST ,40.752268,-73.999448,Manhattan,2.3,low,1,1,2
af741eca-a192-41be-890a-22c7ae7d159a,WBB-10 NIR-4 @ FDR RD,40.714971,-73.976438,Manhattan,0.0,low,0,0,0
08ad39a9-300a-47f7-a708-2670843e6add,2 Ave @ E 116 St,40.79688,-73.937698,Manhattan,2.0,low,2,0,0
b062d611-e0e8-40be-a180-c583391276f5,Park Ave @ 72 St,40.77114,-73.963907,Manhattan,5.0,medium,5,0,0
24101bcf-29a7-4417-b77d-1f0368dc212d,Hudson St @ Laight St,40.721932,-74.008155,Manhattan,2.0,low,2,0,0
65440c6b-ee6c-4406-8542-2992b6edf3f5,Lexington Ave @ 72 St,40.770429,-73.962214,Manhattan,5.9,medium,3,3,4
